Syracuse NY, USA,                      1.7,  2.5,  3.5,  4.6,  5.5,  6.1,  6.0,  5.2,  4.0,  2.7,  1.6,  1.3
Tallahassee FL, USA,                   2.9,  3.7,  4.7,  5.9,  6.3,  6.1,  5.8,  5.5,  4.9,  4.3,  3.3,  2.7
Tampa FL, USA,                         3.2,  4.0,  5.1,  6.2,  6.4,  6.1,  5.8,  5.5,  4.9,  4.4,  3.6,  3.1
Toledo OH, USA,                        1.7,  2.6,  3.5,  4.7,  5.8,  6.3,  6.2,  5.4,  4.3,  3.0,  1.8,  1.4
Topeka KS, USA,                        2.3,  3.0,  4.0,  5.1,  5.9,  6.5,  6.6,  5.8,  4.6,  3.5,  2.4,  1.9
Trenton NJ, USA,                       1.84, 2.64, 3.58, 4.51, 5.21, 5.74, 5.59, 5.03, 4.05, 2.99, 1.98, 1.61
Tucson AZ, USA,                        3.4,  4.4,  5.6,  7.1,  7.9,  8.1,  7.1,  6.7,  6.0,  5.0,  3.8,  3.2
Tucumcari NM, USA,                     3.0,  3.9,  5.1,  6.4,  7.0,  7.5,  7.2,  6.5,  5.5,  4.5,  3.3,  2.7
Tulsa OK, USA,                         2.5,  3.3,  4.3,  5.3,  5.9,  6.4,  6.7,  6.0,  4.7,  3.8,  2.7,  2.2
Washington DC, USA,                    1.87, 2.61, 3.58, 4.61, 5.27, 5.75, 5.65, 5.08, 4.11, 3.14, 2.10, 1.64
Wichita KS, USA,                       2.5,  3.3,  4.3,  5.4,  6.1,  6.7,  6.8,  6.1,  4.9,  3.8,  2.6,  2.2
Wilkes-Barre PA, USA,                  1.8,  2.5,  3.6,  4.6,  5.4,  6.0,  5.9,  5.2,  4.1,  2.9,  1.8,  1.4
Winnemucca NV, USA,                    2.1,  2.9,  4.1,  5.5,  6.6,  7.4,  7.7,  6.7,  5.5,  3.8,  2.3,  1.9
Worcester MA, USA,                     1.9,  2.8,  3.8,  4.7,  5.5,  6.0,  5.9,  5.2,  4.2,  3.0,  1.9,  1.5
