Sioux City IA, USA,                    3.7,  4.0,  3.8,  3.3,  2.9,  2.7,  2.9,  3.3,  3.7,  3.9,  3.2,  3.1
Spokane WA, USA,                       2.3,  3.0,  3.5,  3.4,  3.2,  3.1,  3.5,  3.9,  4.3,  3.8,  2.2,  2.0
Springfield IL, USA,                   3.5,  3.8,  3.3,  3.1,  2.7,  2.5,  2.7,  3.1,  3.6,  3.9,  3.1,  2.9
Springfield MO, USA,                   3.7,  3.7,  3.5,  3.0,  2.5,  2.3,  2.5,  3.0,  3.4,  3.9,  3.4,  3.3
St. Louis MO, USA,                     3.5,  3.7,  3.4,  3.1,  2.6,  2.4,  2.6,  3.0,  3.5,  3.8,  3.2,  3.0
St. Paul MN, USA,                      3.7,  4.4,  4.1,  3.3,  3.0,  2.8,  3.0,  3.3,  3.5,  3.5,  2.8,  2.8
Syracuse NY, USA,                      2.7,  3.3,  3.5,  3.1,  2.7,  2.6,  2.8,  3.1,  3.2,  3.1,  2.0,  2.0
Tallahassee FL, USA,                   3.6,  3.7,  3.4,  2.9,  2.2,  1.9,  2.0,  2.4,  3.1,  4.0,  4.0,  3.7
Tampa FL, USA,                         4.0,  4.0,  3.5,  2.8,  2.0,  1.7,  1.8,  2.2,  2.9,  3.9,  4.2,  4.1
Toledo OH, USA,                        2.8,  3.4,  3.2,  3.1,  2.8,  2.6,  2.8,  3.1,  3.4,  3.4,  2.4,  2.1
Topeka KS, USA,                        3.9,  3.9,  3.5,  3.1,  2.6,  2.5,  2.6,  3.1,  3.6,  4.0,  3.5,  3.4
Tucson AZ, USA,                        5.2,  5.1,  4.4,  3.5,  2.5,  2.1,  2.2,  2.8,  4.0,  5.1,  5.3,  5.1
Tucumcari NM, USA,                     4.9,  4.8,  4.3,  3.5,  2.7,  2.3,  2.4,  3.1,  3.9,  4.8,  4.8,  4.8
Tulsa OK, USA,                         3.9,  3.8,  3.6,  3.0,  2.5,  2.3,  2.4,  2.9,  3.4,  4.0,  3.7,  3.6
Wichita KS, USA,                       4.1,  4.1,  3.7,  3.2,  2.6,  2.4,  2.6,  3.1,  3.6,  4.2,  3.9,  3.8
Wilkes-Barre PA, USA,                  2.8,  3.3,  3.3,  3.0,  2.6,  2.5,  2.6,  3.0,  3.2,  3.3,  2.3,  2.2
Winnemucca NV, USA,                    3.7,  4.0,  3.9,  3.5,  3.0,  2.8,  3.0,  3.7,  4.6,  4.8,  3.7,  3.6
Worcester MA, USA,                     3.5,  4.0,  3.8,  3.1,  2.7,  2.6,  2.7,  3.0,  3.4,  3.5,  2.9,  2.8
