Name                              Brand            CellType            Efficiency  Length   NominalLength  Width     NominalWidth  Thickness  m    n    Pmax    Vmpp   Impp   Voc    Isc    PmaxTC    NOCT   Weight  Color   Shade Tolerance   Bifacial
SPR-P17-330-COM,                  SunPower,        Polycrystalline,    0.160,      2.067,   2.07,          0.998,    1.0,          0.046,     12,  6,   330,    41.9,  7.88,  50.9,  8.47,  -0.0037,  45,    23.1,   Blue,   None,             0
SPR-P17-335-COM,                  SunPower,        Polycrystalline,    0.162,      2.067,   2.07,          0.998,    1.0,          0.046,     12,  6,   335,    42.2,  7.94,  51.1,  8.51,  -0.0037,  45,    23.1,   Blue,   None,             0
SPR-P17-340-COM,                  SunPower,        Polycrystalline,    0.165,      2.067,   2.07,          0.998,    1.0,          0.046,     12,  6,   340,    42.5,  8.00,  51.3,  8.52,  -0.0037,  45,    23.1,   Blue,   None,             0
SPR-P17-345-COM,                  SunPower,        Polycrystalline,    0.167,      2.067,   2.07,          0.998,    1.0,          0.046,     12,  6,   345,    42.8,  8.06,  51.5,  8.57,  -0.0037,  45,    23.1,   Blue,   None,             0
SPR-P17-350-COM,                  SunPower,        Polycrystalline,    0.170,      2.067,   2.07,          0.998,    1.0,          0.046,     12,  6,   350,    43.1,  8.12,  51.7,  8.65,  -0.0037,  45,    23.1,   Blue,   None,             0
SPR-P17-355-COM,                  SunPower,        Polycrystalline,    0.172,      2.067,   2.07,          0.998,    1.0,          0.046,     12,  6,   355,    43.4,  8.18,  51.9,  8.68,  -0.0037,  45,    23.1,   Blue,   None,             0
SPR-X20-250-BLK,                  SunPower,        Monocrystalline,    0.205,      1.558,   1.56,          0.798,    0.8,          0.046,     12,  6,   250,    42.8,  5.84,  50.9,  6.20,  -0.0029,  43,    17.6,   Black,  High,             0
SPR-X21-335-BLK,                  SunPower,        Monocrystalline,    0.21,       1.558,   1.56,          1.046,    1.05,         0.046,     12,  8,   335,    57.3,  5.85,  67.9,  6.23,  -0.0029,  41.5,  18.6,   Black,  High,             0
SPR-X21-345,                      SunPower,        Monocrystalline,    0.215,      1.558,   1.56,          1.046,    1.05,         0.046,     12,  8,   345,    57.3,  6.02,  68.2,  6.39,  -0.0029,  41.5,  18.6,   Black,  High,             0
SPR-X22-360,                      SunPower,        Monocrystalline,    0.222,      1.558,   1.56,          1.046,    1.05,         0.046,     12,  8,   360,    59.1,  6.09,  69.5,  6.48,  -0.0029,  45,    18.6,   Black,  High,             0
SPR-X22-370,                      SunPower,        Monocrystalline,    0.227,      1.558,   1.56,          1.046,    1.05,         0.046,     12,  8,   370,    56.6,  6.00,  69.5,  6.66,  -0.0029,  45,    20.6,   Black,  High,             0
